Artikelnummer	Kurzbez.	Lagerware	Warengruppe	Warenuntergruppe	Langtext	Artikelhinweis	Abmessungen	Sockel	Lichtfarbe	Leistung	Lichtstrom	CRI	Anzahl LEDs	LED Typ	Abstrahlwinkel	Optik	Gehäuse	Farbe	Gewicht	Eingangsspannung	Powerfaktor	Schutzart	Betriebstemperatur	Luftfeuchtigkeit	Lifetime	Garantie	Zertifikate
11503	SMD1500-I-40/8HPTM		LED Tubes	LED Tubes 1500	SMD1500-I-40/8HPTM     LED Tube 1500 SMD 0,3W 4000K 23W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1500 Ø26	G13	4000K	23	2000	80	66	SMD 0,3W	120°	milky	Full PC	silber	465	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11514	SMD1500-IB-40/8HPT		LED Tubes	LED Tubes 1500	SMD1500-IB-40/8HPT     LED Tube 1500 SMD 0,3W 4000K 29W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	4000K	29	3080	80	88	SMD 0,3W	120°	clear	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11515	SMD1500-IB-40/8HPTM	*	LED Tubes	LED Tubes 1500	SMD1500-IB-40/8HPTM     LED Tube 1500 SMD 0,3W 4000K 29W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1500 Ø26	G13	4000K	29	2950	80	88	SMD 0,3W	120°	milky	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11517	SMD1500-IB-40/8HPTR		LED Tubes	LED Tubes 1500	SMD1500-IB-40/8HPTR     LED Tube 1500 SMD 0,3W 4000K 29W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	4000K	29	2970	80	88	SMD 0,3W	70°	clear	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11604	SMD1500-I-60/8HPT		LED Tubes	LED Tubes 1500	SMD1500-I-60/8HPT     LED Tube 1500 SMD 0,3W 6000K 23W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	6000K	23	2300	80	66	SMD 0,3W	120°	clear	Full PC	silber	465	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11605	SMD1500-I-60/8HPTM		LED Tubes	LED Tubes 1500	SMD1500-I-60/8HPTM     LED Tube 1500 SMD 0,3W 6000K 23W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1500 Ø26	G13	6000K	23	2000	80	66	SMD 0,3W	120°	milky	Full PC	silber	465	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11614	SMD1500-IB-60/8HPT		LED Tubes	LED Tubes 1500	SMD1500-IB-60/8HPT     LED Tube 1500 SMD 0,3W 6000K 29W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	6000K	29	3080	80	88	SMD 0,3W	120°	clear	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11615	SMD1500-IB-60/8HPTM	*	LED Tubes	LED Tubes 1500	SMD1500-IB-60/8HPTM     LED Tube 1500 SMD 0,3W 6000K 29W Ra80 Full PC milky (inkl. Starter-Ersatz)		L1500 Ø26	G13	6000K	29	2950	80	88	SMD 0,3W	120°	milky	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11617	SMD1500-IB-60/8HPTR		LED Tubes	LED Tubes 1500	SMD1500-IB-60/8HPTR     LED Tube 1500 SMD 0,3W 6000K 29W Ra80 Full PC clear (inkl. Starter-Ersatz)		L1500 Ø26	G13	6000K	29	3080	80	88	SMD 0,3W	70°	clear	Full PC	silber	485	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
11651	SMD1500-I53-40MM	*	LED Tubes	LED Tubes 1500	SMD1500-I53-40MM     LED Tube 1500 SMD 0,3W 4000K 25W Ra82 Full PC MM (inkl. Starter-Ersatz)		L1500 Ø26	G13	4000K	25	3100	82	148	SMD 0,3W	120°	MM	Full PC	weiss	450	150-240 V / 50-60 Hz	0,97	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
